1 1.73
2 0.129
3 0.041
4 0.037
5 0.029
6 0.036
7 0.037
8 0.029
9 0.040
10 0.032
11 0.034
12 0.044
13 0.037
14 0.040
15 0.037
16 0.026
17 0.040
18 0.038
19 0.040
20 0.033
21 0.035
22 0.048
23 0.033
24 0.027
25 0.029
26 0.039
27 0.037
28 0.040
29 0.034
30 0.032
31 0.095
32 0.045
33 0.041
34 0.038
35 0.038
36 0.041
37 0.034
38 0.051
39 0.068
40 0.038
41 0.050
42 0.050
43 0.033
44 0.042
45 0.067
46 0.045
47 0.040
48 0.037
49 0.040
50 0.028
51 0.029
52 0.040
53 0.039
54 0.035
55 0.046
56 0.032
57 0.039
58 0.036
59 0.038
60 0.040
61 0.047
62 0.047
63 0.032
64 0.042
65 0.032
66 0.030
67 0.034
68 0.040
69 0.049
70 0.033
71 0.034
72 0.038
73 0.039
74 0.034
75 0.034
76 0.037
77 0.038
78 0.031
79 0.041
80 0.054
81 0.037
82 0.042
83 0.030
84 0.032
85 0.035
86 0.040
87 0.040
88 0.041
89 0.041
90 0.041
91 0.040
92 0.043
93 0.042
94 0.040
95 0.042
96 0.040
97 0.035
98 0.086
99 0.042
100 0.041
