5 0 1 0.262375 2.09799 0 56.5625 309873 13960 1500 false
5 1 2 1.4983 11.9911 0 390.281 306996 1739 1500 false
5 2 3 11.9885 95.8966 0 3122.25 367063 2620 1500 false
5 3 4 11.25 90.0126 0 12733.6 594287 11204 1500 false
5 4 5 11.25 89.9972 0 12733.6 705715 561 1500 false
5 5 6 11.25 89.9798 0 12733.6 705214 71 1500 false
5 6 7 11.25 90.0201 0 12733.6 706396 330 1500 false
5 7 8 11.25 90.0031 0 12733.6 708402 405 1500 false
5 8 9 11.25 90 0 12733.6 705141 148 1500 false
5 9 10 11.25 90.0016 0 12733.6 708796 437 1500 false
